date,platform,post_url,post_theme,linked_page,impressions,likes,replies,reposts,saves,profile_clicks,link_clicks,affiliate_clicks,conversions,revenue_yen,notes
2026-06-25,x,,AIツール比較,ai-tools-comparison,,,,,,,,,,,投稿後に手動入力
2026-06-25,x,https://x.com/m0506k/status/2070089999652135114,AIツール初回投稿,ai-tools-comparison,1,0,0,0,,0,0,0,0,0,初回BOTテスト投稿。投稿確認時点で1表示
2026-06-25,x,https://x.com/m0506k/status/2070109429429842177,急速充電器投稿,fast-chargers-comparison,1,0,0,0,,0,0,0,0,0,2本目BOTテスト投稿。投稿確認時点で1表示
2026-06-25,threads,,急速充電器比較,fast-chargers-comparison,,,,,,,,,,,投稿後に手動入力
2026-06-25,instagram,,暑さ対策グッズ比較,heat-relief-items-comparison,,,,,,,,,,,投稿後に手動入力
